,Unnamed: 0,Title,male,female,age_10대,age_20대,age_30대,age_40대,age_50대
0,0,"2023 〈스웨그에이지 : 외쳐, 조선〉 - 인천",0.116,0.884,0,0,0,0,1
1,1,2023 창작뮤지컬어워드 NEXT,0.015,0.985,0,0,0,1,0
2,2,2023 최현우 Answer - 성남,0.338,0.662,0,0,0,0,1
3,3,2023송승환의 오리지널 난타(대전),1.0,0.0,0,0,0,1,0
4,4,2023 매직쇼〈최현우의 미스틱커스〉 - 평택,0.294,0.706,0,0,0,0,1
5,5,국립창극단 〈패왕별희〉,0.143,0.857,0,0,1,0,0
6,6,난타(NANTA) - 명동공연,0.279,0.721,0,0,0,1,0
7,7,넌버벌 코미디 〈옹알스〉,0.358,0.642,0,0,0,0,1
8,8,더 맨 얼라이브 〈초이스〉,0.026,0.9740000000000001,0,1,0,0,0
9,9,동구문화체육센터 뮤지컬 〈앤 ANNE〉 - 인천,0.186,0.8140000000000001,0,0,0,1,0
10,10,라면에 파송송,0.4379999999999999,0.563,0,0,0,0,1
11,11,러스트(RUST) - 전주,0.021,0.9790000000000001,1,0,0,0,0
12,12,런던레코드,0.379,0.621,0,1,0,0,0
13,13,뮤지컬 〈22년 2개월〉,0.061,0.9390000000000001,0,0,0,1,0
14,14,뮤지컬 〈곤 투모로우〉,0.03700000000000001,0.963,0,0,0,0,1
15,15,뮤지컬 더데빌 : 에덴 (Musical THE DEVIL : EDEN),0.05,0.95,0,0,0,0,1
16,16,뮤지컬 〈구텐버그〉,0.043,0.9570000000000001,1,0,0,0,0
17,17,뮤지컬 〈그날들〉 10주년 기념 공연 - 대전,0.158,0.8420000000000001,0,0,0,1,0
18,18,뮤지컬 〈김종욱 찾기〉,0.35,0.65,0,0,0,0,1
19,19,뮤지컬 〈레미제라블〉 - 부산,0.206,0.794,0,0,0,0,1
20,20,뮤지컬 〈레베카〉 10주년 기념공연,0.264,0.736,0,0,0,0,1
21,21,뮤지컬 〈렛미플라이〉,0.085,0.915,0,0,0,0,1
22,22,뮤지컬 〈마리 퀴리〉,0.146,0.8540000000000001,1,0,0,0,0
23,23,뮤지컬 〈맘마미아!〉 - 김해,0.248,0.752,0,0,0,1,0
24,24,뮤지컬 〈렌트〉,0.105,0.895,0,0,0,0,1
25,25,뮤지컬 〈멤피스〉,0.148,0.852,1,0,0,0,0
26,26,뮤지컬 〈문스토리〉,0.061,0.9390000000000001,0,0,0,1,0
27,27,뮤지컬 〈빨래〉,0.202,0.7979999999999999,0,0,0,0,1
28,28,쇼 뮤지컬 〈시스터즈 (SheStars!)〉,0.156,0.8440000000000001,0,0,0,0,1
29,29,뮤지컬 〈비더슈탄트〉,0.035,0.965,0,0,0,1,0
30,30,뮤지컬 〈사칠〉,0.033,0.9670000000000001,0,0,0,1,0
31,31,뮤지컬 〈셜록홈즈 : 앤더슨가의 비밀〉,0.14,0.86,0,0,0,0,1
32,32,뮤지컬 〈쇼맨_어느 독재자의 네 번째 대역배우〉,0.06,0.94,0,1,0,0,0
33,33,뮤지컬 〈스모크〉,0.045,0.955,1,0,0,0,0
34,34,뮤지컬 〈스토리오브마이라이프〉,0.052,0.948,0,0,0,0,1
35,35,뮤지컬 〈삼총사〉,0.065,0.935,0,0,0,0,1
36,36,뮤지컬 〈오페라의 유령〉 - 서울,0.204,0.7959999999999999,0,1,0,0,0
37,37,뮤지컬 〈위윌락유〉,0.204,0.7959999999999999,0,0,0,0,1
38,38,뮤지컬 〈이토록 보통의〉,0.084,0.9159999999999999,1,0,0,0,0
39,39,뮤지컬 〈인사이드 윌리엄〉 2023,0.05599999999999999,0.9440000000000001,1,0,0,0,0
40,40,뮤지컬 〈칠칠〉,0.019,0.981,1,0,0,0,0
41,41,뮤지컬 〈컴프롬어웨이〉,0.138,0.862,0,0,0,0,1
42,42,뮤지컬 〈킴즈〉,0.03,0.97,0,1,0,0,0
43,43,뮤지컬 〈타오르는 어둠 속에서〉,0.038,0.9620000000000001,1,0,0,0,0
44,44,뮤지컬 〈판〉,0.033,0.9670000000000001,1,0,0,0,0
45,45,뮤지컬 〈프리다〉,0.176,0.8240000000000001,0,0,0,0,1
46,46,뮤지컬 〈후크〉,0.04,0.96,1,0,0,0,0
47,47,뮤지컬 드라큘라 (Dracula：The Musical),0.141,0.8590000000000001,0,0,0,0,1
48,48,뮤지컬 〈블랙메리포핀스〉,0.044,0.956,1,0,0,0,0
49,49,뮤지컬 ＇벤허＇,0.204,0.7959999999999999,0,0,0,0,1
50,50,어른이 뮤지컬 〈난쟁이들〉,0.05,0.95,0,0,0,0,1
51,51,이은결 ［더 일루션 - 마스터피스］,0.418,0.5820000000000001,0,0,0,0,1
52,52,창작가무극 〈순신〉,0.12,0.88,0,0,0,0,1
53,53,태양의서커스 〈루치아〉,0.318,0.682,0,0,0,1,0
54,54,［제주］뉴미디어뮤지컬(노형수퍼마켙),0.0,0.0,0,0,0,0,0
55,55,"［청주,세종］뮤지컬 빌의구둣방",0.435,0.565,0,0,0,0,1
56,56,뮤지컬 〈왓 이프〉,0.698,0.302,1,0,0,0,0
57,57,써니텐,0.585,0.415,0,1,0,0,0
58,58,뮤지컬 썸데이,0.397,0.603,1,0,0,0,0
59,59,뮤지컬 프리즌,0.287,0.713,1,0,0,0,0
60,60,뮤직드라마 당신만이,0.283,0.7170000000000001,0,0,1,0,0
61,61,뮤지컬 〈투모로우 모닝〉,0.333,0.667,0,1,0,0,0
62,62,뮤지컬 스크루테이프의 편지,0.279,0.721,0,0,1,0,0
